floor,postId,userId,userName,replyTime,isAnonymous,isDeleted,contentText,contentRaw
"1","839950900","759486","hadmard","2026-07-02T09:25:18.0779052+08:00","false","false","期末周无疑是非常痛苦的，对期末的巨大不确定性会使人很焦虑，而这种焦虑很大程度会对个人的作息规律进行冲击。

譬如lz，期末周以来，几乎十几天整体都在学习，早上七八点爬起来，一直学到晚上十点半多，回寝室之后，因为白天的休息缺失，很难控制住不玩手机，所以一般都要一点多甚至更晚入睡。因此不出意外也是遭到了反噬，不仅最近肤色蜡黄，口腔溃疡长了两三个，有一个甚至有点大，导致之前喝水吃东西都会很痛。然后还长了几个“化脓的炎症痘”（GPT说的），昨晚洗完头下楼吹头发，惊奇发现眼中竟然隐隐又些血丝。目前也差不多算是考完了，因此开个健康打卡记录楼，起到一个自律加上部分他律的功能

### 目前的规划如下：
1. 夜间睡眠：11:35 - 7：30，先用褪黑素调一调作息，并且提前结束手机的使用，防止addict
2. 锻炼：尽量保证都有锻炼吧，特殊情况就算了，例如出去玩/下雨但是没有场馆/...
3. 喝水：每天2L，大约一瓶半水壶的水
4. ...","期末周无疑是非常痛苦的，对期末的巨大不确定性会使人很焦虑，而这种焦虑很大程度会对个人的作息规律进行冲击。

譬如lz，期末周以来，几乎十几天整体都在学习，早上七八点爬起来，一直学到晚上十点半多，回寝室之后，因为白天的休息缺失，很难控制住不玩手机，所以一般都要一点多甚至更晚入睡。因此不出意外也是遭到了反噬，不仅最近肤色蜡黄，口腔溃疡长了两三个，有一个甚至有点大，导致之前喝水吃东西都会很痛。然后还长了几个“化脓的炎症痘”（GPT说的），昨晚洗完头下楼吹头发，惊奇发现眼中竟然隐隐又些血丝。目前也差不多算是考完了，因此开个健康打卡记录楼，起到一个自律加上部分他律的功能

### 目前的规划如下：
1. 夜间睡眠：11:35 - 7：30，先用褪黑素调一调作息，并且提前结束手机的使用，防止addict
2. 锻炼：尽量保证都有锻炼吧，特殊情况就算了，例如出去玩/下雨但是没有场馆/...
3. 喝水：每天2L，大约一瓶半水壶的水
4. ..."
"2","839951040","794615","叶谨南","2026-07-02T09:35:06.6878413+08:00","false","false","我也是焦虑加作息不规律结果皮肤变的非常差hh，期末周又不运动真是糟上加糟，实在忍不了了去附近美容店做了一次针清，然后再努力保持健康皮肤状态，，，","我也是焦虑加作息不规律结果皮肤变的非常差hh，期末周又不运动真是糟上加糟，实在忍不了了去附近美容店做了一次针清，然后再努力保持健康皮肤状态，，，"
"3","839952886","759486","hadmard","2026-07-02T11:35:03.3593024+08:00","false","false","以下是引用2楼：用户叶谨南在2026-07-02 09:35:06的发言：>>查看原帖<< (/topic/6562405#2)
我也是焦虑加作息不规律结果皮肤变的非常差hh，期末周又不运动真是糟上加糟，实在忍不了了去附近美容店做了一次针清，然后再努力保持健康皮肤状态，，，

共勉","[quote][b]以下是引用2楼：用户叶谨南在2026-07-02 09:35:06的发言：[color=blue][url=/topic/6562405#2]>>查看原帖<<[/url][/color][/b]
我也是焦虑加作息不规律结果皮肤变的非常差hh，期末周又不运动真是糟上加糟，实在忍不了了去附近美容店做了一次针清，然后再努力保持健康皮肤状态，，，[/quote]
共勉[cc9805]"
"4","839964137","759486","hadmard","2026-07-02T23:27:08.2951283+08:00","false","false","打卡天数：1
26-7-2 23:22

做完了准备工作，手机扔床下，嗑了褪黑素，准备睡觉，明早七点半闹钟

26-7-3 07:28
起床打卡","[b]打卡天数：1 [/b]
[b]26-7-2 23:22[/b]

做完了准备工作，手机扔床下，嗑了褪黑素，准备睡觉，明早七点半闹钟[cc9810]

[b]26-7-3 07:28[/b]
起床打卡"
"5","839980521","759486","hadmard","2026-07-03T22:05:38.2418618+08:00","false","false","可能第二天要失败了😣，明天还有考试，感觉没复习完，刷夜了要特殊情况","可能第二天要失败了😣，明天还有考试，感觉没复习完，刷夜了要[ac01]特殊情况"
"6","839980784","759486","hadmard","2026-07-03T22:26:00.3386974+08:00","false","false","以下是引用5楼：用户hadmard在2026-07-03 22:05:38的发言：>>查看原帖<< (/topic/6562405#5)
可能第二天要失败了😣，明天还有考试，感觉没复习完，刷夜了要特殊情况

太过怠惰和分神了，现在想想还是早点做完迟早要做的事会更好","[quote][b]以下是引用5楼：用户hadmard在2026-07-03 22:05:38的发言：[color=blue][url=/topic/6562405#5]>>查看原帖<<[/url][/color][/b]
可能第二天要失败了😣，明天还有考试，感觉没复习完，刷夜了要[ac01]特殊情况[/quote]
太过怠惰和分神了，现在想想还是早点做完迟早要做的事会更好"
"7","839982041","760775","赤奈良瞳","2026-07-03T23:50:01.7157497+08:00","false","false","刷夜么，吓哭了，主播加油","刷夜么，吓哭了，主播加油[cc9832][ac32]"
"8","839982799","759486","hadmard","2026-07-04T00:36:44.931211+08:00","false","false","以下是引用7楼：用户赤奈良瞳在2026-07-03 23:50:01的发言：>>查看原帖<< (/topic/6562405#7)
刷夜么，吓哭了，主播加油

期末周的最后一次刷夜机会（）
其实是今天晚上太拖沓了，导致复习效率有点低；现在面向历年卷复习过一遍了，睡觉😴","[quote][b]以下是引用7楼：用户赤奈良瞳在2026-07-03 23:50:01的发言：[color=blue][url=/topic/6562405#7]>>查看原帖<<[/url][/color][/b]
刷夜么，吓哭了，主播加油[cc9832][ac32][/quote]
期末周的最后一次刷夜机会（）
其实是今天晚上太拖沓了，导致复习效率有点低；现在面向历年卷复习过一遍了，睡觉😴"
"9","839986727","759486","hadmard","2026-07-04T12:23:07.0211436+08:00","false","false","以下是引用1楼：用户hadmard在2026-07-02 09:25:18的发言：>>查看原帖<< (/topic/6562405/1#1)
期末周无疑是非常痛苦的，对期末的巨大不确定性会使人很焦虑，而这种焦虑很大程度会对个人的作息规律进行冲击。

譬如lz，期末周以来，几乎十几天整体都在学习，早上七八点爬起来，一直学到晚上十点半多，回寝室之后，因为白天的休息缺失，很难控制住不玩手机，所以一般都要一点多甚至更晚入睡。因此不出意外也是遭到了反噬，不仅最近肤色蜡黄，口腔溃疡长了两三个，有一个甚至有点大，导致之前喝水吃东西都会很痛。然后还长了几个“化脓的炎症痘”（GPT说的），昨晚洗完头下楼吹头发，惊奇发现眼中竟然隐隐又些血丝。目前也差不多算是考完了，因此开个健康打卡记录楼，起到一个自律加上部分他律的功能

### 目前的规划如下：
1. 夜间睡眠：11:35 - 7：30，先用褪黑素调一调作息，并且提前结束手机的使用，防止addict
2. 锻炼：尽量保证都有锻炼吧，特殊情况就算了，例如出去玩/下雨但是没有场馆/...
3. 喝水：每天2L，大约一瓶半水壶的水
4. ...

买了一个没有密封功能的水杯，这样每次去北教灌上一杯水，喝不完没法带走，起到一个提醒作用","[quote][b]以下是引用1楼：用户hadmard在2026-07-02 09:25:18的发言：[url=/topic/6562405/1#1]>>查看原帖<<[/url][/b]
期末周无疑是非常痛苦的，对期末的巨大不确定性会使人很焦虑，而这种焦虑很大程度会对个人的作息规律进行冲击。

譬如lz，期末周以来，几乎十几天整体都在学习，早上七八点爬起来，一直学到晚上十点半多，回寝室之后，因为白天的休息缺失，很难控制住不玩手机，所以一般都要一点多甚至更晚入睡。因此不出意外也是遭到了反噬，不仅最近肤色蜡黄，口腔溃疡长了两三个，有一个甚至有点大，导致之前喝水吃东西都会很痛。然后还长了几个“化脓的炎症痘”（GPT说的），昨晚洗完头下楼吹头发，惊奇发现眼中竟然隐隐又些血丝。目前也差不多算是考完了，因此开个健康打卡记录楼，起到一个自律加上部分他律的功能

### 目前的规划如下：
1. 夜间睡眠：11:35 - 7：30，先用褪黑素调一调作息，并且提前结束手机的使用，防止addict
2. 锻炼：尽量保证都有锻炼吧，特殊情况就算了，例如出去玩/下雨但是没有场馆/...
3. 喝水：每天2L，大约一瓶半水壶的水
4. ...

[/quote]
买了一个没有密封功能的水杯，这样每次去北教灌上一杯水，喝不完没法带走，起到一个提醒作用[cc9806]"
"10","839993860","759486","hadmard","2026-07-04T21:19:57.9362418+08:00","false","false","今日份锻炼完成，6:50 - 8:30 羽毛球；
一开始有种复健的感觉，找不到球，有点忘记挥拍，不过打了半小时手感慢慢回来了。可惜激战正酣之时拍线被杀断了，不得不中止之，可惜可惜。

今晚的雨很大啊，天气太诡谲了","今日份锻炼完成，6:50 - 8:30 羽毛球；
一开始有种复健的感觉，找不到球，有点忘记挥拍，不过打了半小时手感慢慢回来了。可惜激战正酣之时拍线被杀断了，不得不中止之，可惜可惜。
[cc9804]

今晚的雨很大啊，天气太诡谲了"
